ProductCode,BrandName,Week,Color,Target,Price,RankA,RankB,RankC,RankD,Rating,ReviewCount,Recommend,ReviewCountFromSite,ReviewCorrected_1,ReviewCorrected_2
202584243,Brand_3,2019W20,Stainless Steel,496,130.9,16,16,16,0,4.52,851,93,851,2,2
202584243,Brand_3,2019W21,Stainless Steel,531,130.9,16,16,16,0,4.52,855,93,855,4,4
202584243,Brand_3,2019W22,Stainless Steel,560,130.9,16,16,16,0,4.52,858,93,858,3,3
202584243,Brand_3,2019W23,Stainless Steel,534,130.9,16,16,16,0,4.52,859,93,859,1,1
202584243,Brand_3,2019W24,Stainless Steel,538,130.9,16,16,16,0,4.52,861,93,861,2,2
202584243,Brand_3,2019W25,Stainless Steel,542,130.9,16,16,16,0,4.52,862,93,862,862,1
202998672,Brand_3,2019W19,Chrome,0,59.24,355,305,335.429,17.008,4.58,96,95,96,96,0
202998672,Brand_3,2019W20,Chrome,0,59.24,313,301,308.714,4.572,4.58,96,95,96,0,0
202998672,Brand_3,2019W21,Chrome,0,59.24,331,311,322.857,9.026,4.58,96,95,96,0,0
202998672,Brand_3,2019W22,Chrome,0,59.24,317,292,303.429,11.088,4.58,96,95,96,0,0
202998672,Brand_3,2019W23,Chrome,0,59.24,1153,1151,1151.833,0.983,4.58,96,95,96,0,0
202998672,Brand_3,2019W24,Chrome,0,63.04,1175,1156,1167,7.188,4.58,96,95,96,0,0
202998672,Brand_3,2019W25,Chrome,0,63.04,1198,1173,1187.143,10.351,4.58,96,95,96,96,0
100684612,Brand_1,2019W19,Chrome,935,119,18,18,18,0,4.12,1255,77,1255,1255,7
100684612,Brand_1,2019W20,Chrome,1008,119,18,15,15.571,1.134,4.12,1262,77,1262,7,7
100684612,Brand_1,2019W21,Chrome,1000,119,15,15,15,0,4.12,1265,77,1265,3,3
100684612,Brand_1,2019W22,Chrome,1023,119,18,15,16.714,1.604,4.12,1267,77,1267,2,2
100684612,Brand_1,2019W36,Chrome,1249,119,16,11,15,1.915,4.13,1342,77,1342,75,75
100684612,Brand_1,2019W37,Chrome,1161,119,15,11,11.571,1.512,4.13,1346,77,1346,4,4
100684612,Brand_1,2019W38,Chrome,1175,119,20,15,16.143,2.035,4.13,1354,77,1354,8,8
100684612,Brand_1,2019W39,Chrome,1118,119,20,8,12.429,4.65,4.13,1362,77,1362,8,8
100684612,Brand_1,2019W49,Chrome,908,119,39,26,32.857,4.375,4.1,1511,77,1511,149,149
100684612,Brand_1,2019W50,Chrome,934,119,46,23,28.571,8.039,4.1,1523,77,1523,12,12
100684612,Brand_1,2019W51,Chrome,958,119,29,26,28.286,1.113,4.11,1534,77,1534,11,11
100684612,Brand_1,2019W52,Chrome,843,119,21,15,18.857,2.268,4.11,1541,77,1541,7,7
100684612,Brand_1,2020W01,Chrome,939,119,18,10,14,5.657,4.11,1541,77,1541,1541,0
300214064,Brand_3,2019W19,Chrome,154,69,30,30,30,0,4.54,243,91,243,243,3
300214064,Brand_3,2019W20,Chrome,123,69,27,27,27,0,4.54,246,91,246,3,3
300214064,Brand_3,2019W21,Chrome,128,69,27,27,27,0,4.55,247,91,247,1,1
300214064,Brand_3,2019W22,Chrome,136,69,27,27,27,0,4.55,247,91,247,0,0
300214064,Brand_3,2019W23,Chrome,115,69,27,27,27,0,4.54,248,91,248,1,1
300214064,Brand_3,2019W24,Chrome,120,69,27,27,27,0,4.54,249,91,249,1,1
300214064,Brand_3,2019W25,Chrome,135,69,27,27,27,0,4.55,251,91,251,251,2
300214071,Brand_3,2019W19,Stainless Steel,298,89,31,31,31,0,4.54,243,91,243,243,3
300214071,Brand_3,2019W20,Stainless Steel,313,89,28,28,28,0,4.54,246,91,246,3,3
300214071,Brand_3,2019W21,Stainless Steel,271,89,28,28,28,0,4.55,247,91,247,1,1
300214071,Brand_3,2019W22,Stainless Steel,274,89,28,28,28,0,4.55,247,91,247,0,0
300214071,Brand_3,2019W23,Stainless Steel,276,89,28,28,28,0,4.54,248,91,248,1,1
300214071,Brand_3,2019W24,Stainless Steel,261,89,28,28,28,0,4.54,249,91,249,1,1
300214071,Brand_3,2019W25,Stainless Steel,281,89,28,28,28,0,4.55,251,91,251,251,2
